epoch,split,loss,acc,lr,duration_s
0,train,1.7766392504119872,0.3472,0.01,2.3718721866607666
0,eval,1.4378331253051757,0.4768,0.01,0.4601011276245117
1,train,1.2981265727996827,0.53004,0.01,2.0693531036376953
1,eval,1.2113340662002563,0.5566,0.01,0.3028273582458496
2,train,1.122320302848816,0.60274,0.01,2.1037912368774414
2,eval,1.120824001312256,0.6087,0.01,0.30214381217956543
3,train,1.029730197982788,0.63956,0.01,2.105050563812256
3,eval,1.0800587493896485,0.6314,0.01,0.26811695098876953
4,train,0.9567629399108887,0.67136,0.01,2.1201281547546387
4,eval,1.1063329515457154,0.6287,0.01,0.29808807373046875
5,train,0.9046584757232666,0.69148,0.01,2.1400859355926514
5,eval,1.0392237241744995,0.6499,0.01,0.29710984230041504
6,train,0.8636807484436035,0.7088,0.01,2.0923285484313965
6,eval,1.0063597398757935,0.6655,0.01,0.3077888488769531
7,train,0.8363431079292297,0.71712,0.01,2.1422836780548096
7,eval,0.9430936960220337,0.6845,0.01,0.3032681941986084
8,train,0.8006789342308045,0.732,0.01,2.111933946609497
8,eval,0.9587731430053711,0.6854,0.01,0.2919118404388428
9,train,0.7739784728240967,0.74028,0.01,2.111175060272217
9,eval,0.9688292130470276,0.6757,0.01,0.3011927604675293
10,train,0.7560287997817993,0.7476,0.01,2.1454834938049316
10,eval,0.9878877194404602,0.6862,0.01,0.3021674156188965
11,train,0.7410634009361267,0.75308,0.01,2.1184587478637695
11,eval,0.939747375869751,0.6916,0.01,0.2939567565917969
12,train,0.7214372573852539,0.76072,0.01,2.1122171878814697
12,eval,1.0155641165733338,0.6883,0.01,0.2851066589355469
13,train,0.7091058390426636,0.7652,0.01,2.1684625148773193
13,eval,0.9882900350570679,0.6808,0.01,0.3158724308013916
14,train,0.685416618309021,0.7716,0.01,2.1409919261932373
14,eval,0.9934257137298584,0.6842,0.01,0.27838945388793945
15,train,0.6702873271560669,0.77838,0.01,2.124669075012207
15,eval,1.0043028861999512,0.6817,0.01,0.3091559410095215
16,train,0.6718062876319886,0.77802,0.01,2.1365528106689453
16,eval,1.0132864561080932,0.6824,0.01,0.30747246742248535
