epoch,split,loss,acc,lr,duration_s
0,train,1.7347477624893188,0.33814,0.001,2.684164524078369
0,eval,1.3742263931274414,0.4917,0.001,0.5294594764709473
1,train,1.4452823816680909,0.4728,0.001,2.2420570850372314
1,eval,1.2446811445236206,0.5524,0.001,0.2587442398071289
2,train,1.3196909004592896,0.5229,0.001,2.312213182449341
2,eval,1.1021470129013062,0.6008,0.001,0.2377181053161621
3,train,1.2516078358078002,0.55178,0.001,2.2438247203826904
3,eval,1.0645203674316406,0.6225,0.001,0.2171154022216797
4,train,1.1895658494567871,0.5775,0.001,2.3101091384887695
4,eval,1.020968423271179,0.6447,0.001,0.22461223602294922
5,train,1.1468925282287599,0.59744,0.001,2.3100318908691406
5,eval,0.9977925945281982,0.6461,0.001,0.22412419319152832
6,train,1.1100295404815674,0.61038,0.001,2.292325735092163
6,eval,0.9246656405448913,0.6742,0.001,0.23037290573120117
7,train,1.083642395248413,0.621,0.001,2.3175220489501953
7,eval,0.9031679663658142,0.6845,0.001,0.22835469245910645
8,train,1.054980557975769,0.63224,0.001,2.3054897785186768
8,eval,0.919438087463379,0.6835,0.001,0.2336575984954834
9,train,1.0307881958389282,0.63864,0.001,2.2871735095977783
9,eval,0.8620909847259521,0.7029,0.001,0.2367246150970459
10,train,1.010707212524414,0.64694,0.001,2.2972967624664307
10,eval,0.8477000835418701,0.7052,0.001,0.2338862419128418
11,train,0.9852021229553223,0.65638,0.001,2.2821333408355713
11,eval,0.8121527111053467,0.7177,0.001,0.22362446784973145
12,train,0.9653866474914551,0.66546,0.001,2.29542875289917
12,eval,0.7945104367256165,0.7263,0.001,0.23005247116088867
13,train,0.9562515658569336,0.66944,0.001,2.2985830307006836
13,eval,0.8406687515258789,0.7111,0.001,0.22724509239196777
14,train,0.9406977659225464,0.67506,0.001,2.3002047538757324
14,eval,0.8209455312728882,0.7084,0.001,0.24968528747558594
15,train,0.9267886714172363,0.67846,0.001,2.401496410369873
15,eval,0.7661363257408143,0.7292,0.001,0.23753070831298828
16,train,0.910875463848114,0.68432,0.001,2.537574529647827
16,eval,0.7645424773216247,0.735,0.001,0.3380405902862549
17,train,0.9073305108642579,0.68664,0.001,2.74633526802063
17,eval,0.7424865154266358,0.7501,0.001,0.28347325325012207
18,train,0.894546235485077,0.69152,0.001,2.5442440509796143
18,eval,0.7559519121170044,0.7393,0.001,0.327350378036499
19,train,0.886426919670105,0.6939,0.001,2.549104690551758
19,eval,0.7467191153526306,0.7476,0.001,0.30124783515930176
20,train,0.8730799956130981,0.69852,0.001,2.6739320755004883
20,eval,0.7498323948860168,0.7422,0.001,0.28496408462524414
21,train,0.8726579948043823,0.69936,0.001,2.6911072731018066
21,eval,0.72699517288208,0.7539,0.001,0.28368663787841797
22,train,0.8545586994552612,0.70784,0.001,2.5048141479492188
22,eval,0.7218569341659546,0.7539,0.001,0.24702930450439453
23,train,0.8469869825553894,0.7082,0.001,2.429313898086548
23,eval,0.7293335618972778,0.7486,0.001,0.27441835403442383
24,train,0.848528617362976,0.70826,0.001,2.3768765926361084
24,eval,0.6979493962287903,0.7606,0.001,0.2669551372528076
25,train,0.8337641654205322,0.71496,0.001,2.3615496158599854
25,eval,0.7071438886642456,0.7642,0.001,0.31954193115234375
26,train,0.8323291768074036,0.7139,0.001,2.4738662242889404
26,eval,0.6927096492767334,0.7624,0.001,0.2685701847076416
27,train,0.8285832182884216,0.7159,0.001,2.374976634979248
27,eval,0.7061701709747314,0.7589,0.001,0.2304835319519043
28,train,0.8146336729431153,0.7214,0.001,2.335792064666748
28,eval,0.698904777431488,0.7608,0.001,0.273942232131958
29,train,0.8109465707588196,0.72086,0.001,2.4433209896087646
29,eval,0.7079669213294983,0.76,0.001,0.24009466171264648
30,train,0.8134146922111511,0.72192,0.001,2.450031042098999
30,eval,0.704488787651062,0.7542,0.001,0.26819276809692383
31,train,0.800052000694275,0.72466,0.001,2.625502347946167
31,eval,0.6844344730377198,0.7713,0.001,0.28563690185546875
32,train,0.7954932154464721,0.7263,0.001,2.386772871017456
32,eval,0.6579390145778656,0.7729,0.001,0.24571752548217773
33,train,0.7970457139205933,0.72724,0.001,2.4613490104675293
33,eval,0.6817977633953094,0.7731,0.001,0.25725603103637695
34,train,0.7942012812995911,0.7291,0.001,2.4984772205352783
34,eval,0.6864837375640869,0.7682,0.001,0.30527615547180176
35,train,0.786948990573883,0.7284,0.001,2.4276089668273926
35,eval,0.6733151090621948,0.7691,0.001,0.24216508865356445
36,train,0.7832075554084778,0.7297,0.001,2.396390199661255
36,eval,0.6730183934211731,0.7699,0.001,0.24319934844970703
37,train,0.7759941114616394,0.73476,0.001,2.4433226585388184
37,eval,0.6687514152050018,0.7745,0.001,0.2516040802001953
38,train,0.7738564735031128,0.73516,0.001,2.416952610015869
38,eval,0.6774125260829925,0.7661,0.001,0.24895167350769043
39,train,0.773167935256958,0.73658,0.001,2.5078344345092773
39,eval,0.6526685254573822,0.7759,0.001,0.2909402847290039
40,train,0.7652779864120484,0.7372,0.001,2.6274938583374023
40,eval,0.6526636881351471,0.7746,0.001,0.27143120765686035
41,train,0.7648266687011719,0.7368,0.001,2.60387921333313
41,eval,0.6670216873168945,0.7748,0.001,0.2776486873626709
42,train,0.7596094225692749,0.74062,0.001,2.5301764011383057
42,eval,0.6573512758255005,0.7782,0.001,0.27127504348754883
43,train,0.7606259511566162,0.73852,0.001,2.6235718727111816
43,eval,0.6718731612205505,0.7718,0.001,0.2944927215576172
44,train,0.7591781356239319,0.73932,0.001,2.4776623249053955
44,eval,0.652319690656662,0.7797,0.001,0.2469193935394287
45,train,0.7493886400985718,0.74348,0.001,2.3737423419952393
45,eval,0.642908830690384,0.7798,0.001,0.25307726860046387
46,train,0.7487116584396363,0.74594,0.001,2.4220948219299316
46,eval,0.6377214255332947,0.7834,0.001,0.2740471363067627
47,train,0.7495828001785279,0.74378,0.001,2.60322904586792
47,eval,0.6355444781303405,0.7854,0.001,0.2599327564239502
48,train,0.7479637851905823,0.74414,0.001,2.5772457122802734
48,eval,0.6698535935878753,0.7796,0.001,0.2928030490875244
49,train,0.7423875477600098,0.74582,0.001,2.628312587738037
49,eval,0.6711996375083923,0.7694,0.001,0.2653543949127197
