epoch,split,loss,acc,lr,duration_s
0,train,1.8756095449447632,0.35056,0.01,2.466933488845825
0,eval,1.4955680480957032,0.4469,0.01,0.52685546875
1,train,1.3968287174606324,0.48356,0.01,2.0852627754211426
1,eval,1.3737575679779053,0.488,0.01,0.2797055244445801
2,train,1.2737484785842896,0.53272,0.01,2.1178457736968994
2,eval,1.2324208890914916,0.5539,0.01,0.30762648582458496
3,train,1.1879616426849364,0.56846,0.01,2.067375659942627
3,eval,1.1634399713516235,0.582,0.01,0.31072998046875
4,train,1.131449627456665,0.59268,0.01,2.1418519020080566
4,eval,1.2024119094848633,0.5689,0.01,0.30434441566467285
5,train,1.0896895404052733,0.60654,0.01,2.128783941268921
5,eval,1.15580346660614,0.5833,0.01,0.30651426315307617
6,train,1.0493740312957764,0.62304,0.01,2.112330675125122
6,eval,1.1491789465904236,0.5946,0.01,0.31571531295776367
7,train,1.0281170056915283,0.62878,0.01,2.0441319942474365
7,eval,1.1355988386154174,0.595,0.01,0.31459617614746094
8,train,1.005283408164978,0.63914,0.01,2.063063144683838
8,eval,1.074132902240753,0.6164,0.01,0.29128336906433105
9,train,0.9725233293151856,0.6499,0.01,2.0722577571868896
9,eval,1.084109084033966,0.6203,0.01,0.3154268264770508
10,train,0.9665451819992066,0.65472,0.01,2.1035733222961426
10,eval,1.0843602604866027,0.6148,0.01,0.302814245223999
11,train,0.9463368477630615,0.66202,0.01,2.0677998065948486
11,eval,1.0832235215187074,0.6204,0.01,0.30767154693603516
12,train,0.9328254195785523,0.66636,0.01,2.0616402626037598
12,eval,1.072649375629425,0.622,0.01,0.31348681449890137
13,train,0.9153030045890808,0.67318,0.01,2.078279495239258
13,eval,1.0399760145187378,0.6314,0.01,0.26267337799072266
14,train,0.9056668755340577,0.67744,0.01,2.1182196140289307
14,eval,1.0336808071136474,0.6314,0.01,0.315871000289917
15,train,0.903153118095398,0.6785,0.01,2.1206836700439453
15,eval,1.0586921697616578,0.6248,0.01,0.3090827465057373
16,train,0.8837308434677124,0.68416,0.01,2.038365125656128
16,eval,1.0248442344665527,0.6409,0.01,0.30659961700439453
17,train,0.8722599022102356,0.68772,0.01,2.0188040733337402
17,eval,1.0438005423545837,0.6415,0.01,0.3148915767669678
18,train,0.8646424626541138,0.69008,0.01,2.0657074451446533
18,eval,1.0362569252967835,0.6383,0.01,0.28598690032958984
19,train,0.8643807221603393,0.69186,0.01,2.090989828109741
19,eval,1.026564801979065,0.6395,0.01,0.3075730800628662
20,train,0.864116381969452,0.69498,0.01,2.0574657917022705
20,eval,1.0842666271209718,0.6272,0.01,0.31983399391174316
21,train,0.8565259677505493,0.69626,0.01,2.087820529937744
21,eval,1.0827430117607117,0.627,0.01,0.3257865905761719
22,train,0.8487975165557862,0.69844,0.01,2.0783798694610596
22,eval,1.0630099431037903,0.6351,0.01,0.29752159118652344
23,train,0.8369322476005554,0.70342,0.01,2.0747122764587402
23,eval,1.0967038816452026,0.625,0.01,0.32059645652770996
24,train,0.8430708994102478,0.70222,0.01,2.076972246170044
