epoch,split,loss,acc,lr,duration_s
0,train,2.0397442609405516,0.33486,0.01,2.4159281253814697
0,eval,1.5037985544204713,0.4449,0.01,0.5119740962982178
1,train,1.5001879834365845,0.45424,0.01,2.002744197845459
1,eval,1.3933206224441528,0.5052,0.01,0.283571720123291
2,train,1.3740953323745728,0.50634,0.01,1.9856932163238525
2,eval,1.2453281726837158,0.5497,0.01,0.29916906356811523
3,train,1.3022845343017577,0.5333,0.01,1.9866647720336914
3,eval,1.2612546197891235,0.554,0.01,0.29482531547546387
4,train,1.2504726319122315,0.55402,0.01,1.9950621128082275
4,eval,1.1524823062896727,0.5922,0.01,0.3004579544067383
5,train,1.211497098236084,0.56968,0.01,1.9887521266937256
5,eval,1.1290539339065553,0.5998,0.01,0.29597973823547363
6,train,1.194030576324463,0.57866,0.01,1.9977939128875732
6,eval,1.1736683422088623,0.5868,0.01,0.30815696716308594
7,train,1.1636258196258544,0.58994,0.01,1.972649335861206
7,eval,1.1617074810028076,0.5928,0.01,0.28242969512939453
8,train,1.1479173544311523,0.5932,0.01,1.9938817024230957
8,eval,1.092303016090393,0.6243,0.01,0.31498289108276367
9,train,1.1384327914428711,0.60088,0.01,1.9956214427947998
9,eval,1.102940823364258,0.6127,0.01,0.2965555191040039
10,train,1.114635174407959,0.60628,0.01,1.9934132099151611
10,eval,1.0740347795486451,0.62,0.01,0.3068816661834717
11,train,1.1042936876678466,0.6105,0.01,1.9657270908355713
11,eval,1.1067354038238526,0.6091,0.01,0.30787110328674316
12,train,1.097822727394104,0.61338,0.01,1.9628076553344727
12,eval,1.1110364582061767,0.6096,0.01,0.30890488624572754
13,train,1.0903301626968385,0.61526,0.01,1.9733784198760986
13,eval,1.085535064315796,0.6238,0.01,0.28174638748168945
14,train,1.0736347455978394,0.61996,0.01,1.9867825508117676
14,eval,1.050573624420166,0.6372,0.01,0.30074024200439453
15,train,1.069224900932312,0.62358,0.01,2.003183364868164
15,eval,1.0638879110336303,0.6365,0.01,0.29921913146972656
16,train,1.0588188820648194,0.62468,0.01,2.0031473636627197
16,eval,1.0715493330955506,0.6307,0.01,0.3112061023712158
17,train,1.063858198814392,0.62618,0.01,2.005359411239624
17,eval,1.107272021484375,0.6154,0.01,0.2762894630432129
18,train,1.0393785947990417,0.6351,0.01,2.005100727081299
18,eval,1.0815936977386476,0.6291,0.01,0.3020148277282715
19,train,1.0285141165542602,0.6403,0.01,2.083519458770752
19,eval,1.0724983171463012,0.6234,0.01,0.3182694911956787
20,train,1.0232095632171632,0.6415,0.01,2.032803535461426
20,eval,1.0705295581817627,0.6345,0.01,0.3661978244781494
21,train,1.0088950984191896,0.6494,0.01,2.020941972732544
21,eval,1.0272222448349,0.6534,0.01,0.3160741329193115
22,train,1.0139345851898194,0.64748,0.01,2.015678644180298
22,eval,1.0952500867843629,0.6247,0.01,0.28098535537719727
23,train,1.0017590997505188,0.6527,0.01,2.032194137573242
23,eval,1.0595673466682434,0.6273,0.01,0.3179898262023926
24,train,0.9897076290130615,0.65644,0.01,2.051819324493408
24,eval,1.0525615865707398,0.632,0.01,0.3067965507507324
25,train,0.9856986688613891,0.65688,0.01,2.00860595703125
25,eval,1.059767366218567,0.6354,0.01,0.30611491203308105
26,train,0.9750506442642212,0.66024,0.01,1.9975457191467285
26,eval,1.0394695402145386,0.6434,0.01,0.30515265464782715
27,train,0.9763313424682617,0.65926,0.01,1.982217788696289
27,eval,1.0902853944778443,0.6308,0.01,0.29370713233947754
28,train,0.9732327056121827,0.65914,0.01,1.99190092086792
28,eval,1.0394095191955566,0.6436,0.01,0.3170473575592041
29,train,0.9708931084060669,0.66044,0.01,1.993879795074463
29,eval,1.0387714878082275,0.6388,0.01,0.31716132164001465
30,train,0.9602817783737183,0.66632,0.01,1.9986863136291504
30,eval,1.0072736318588258,0.6573,0.01,0.3072667121887207
31,train,0.9619399714279174,0.66368,0.01,1.98386549949646
31,eval,1.0193751817703247,0.6538,0.01,0.26709675788879395
32,train,0.9533521466827393,0.66674,0.01,1.9991841316223145
32,eval,1.0387500477790832,0.6517,0.01,0.30368471145629883
33,train,0.9571624908447266,0.66478,0.01,2.009819746017456
33,eval,1.0552020189285278,0.6349,0.01,0.31743931770324707
34,train,0.9562621014595032,0.66664,0.01,1.9924237728118896
34,eval,1.0460363701820374,0.6392,0.01,0.3100597858428955
35,train,0.9428647016906738,0.67194,0.01,2.0017426013946533
35,eval,1.0243476942062377,0.6487,0.01,0.2979891300201416
36,train,0.9451813545799256,0.66996,0.01,1.988131046295166
36,eval,1.0302068907737731,0.6483,0.01,0.28431129455566406
37,train,0.9485530964279175,0.66752,0.01,2.002880573272705
37,eval,1.0468200320243835,0.6292,0.01,0.28714466094970703
38,train,0.9418364760017395,0.67064,0.01,1.9702765941619873
38,eval,1.0424058588027953,0.6488,0.01,0.2931833267211914
39,train,0.9431553084182739,0.67294,0.01,1.9801967144012451
39,eval,1.010952269935608,0.6569,0.01,0.28870415687561035
40,train,0.936269947013855,0.67172,0.01,2.0006237030029297
40,eval,1.156866156387329,0.6055,0.01,0.322864294052124
41,train,0.9337551827812195,0.67416,0.01,2.0009477138519287
41,eval,1.083792987537384,0.629,0.01,0.28904199600219727
42,train,0.9316634385490418,0.67772,0.01,2.018239974975586
42,eval,1.1079806253433226,0.6053,0.01,0.31291818618774414
43,train,0.9272089507865906,0.67466,0.01,1.9972355365753174
43,eval,1.0372762183189392,0.6489,0.01,0.3078620433807373
44,train,0.9284835548019409,0.6758,0.01,2.0123419761657715
44,eval,1.0221445450782776,0.6574,0.01,0.276439905166626
